infrared_value,mq2_value,humidity,temperature,label
1,275,85.0,25.3,0
1,275,85.0,25.3,0
1,275,85.0,25.3,0
1,275,85.0,25.3,0
1,275,85.0,25.3,0
1,275,85.0,25.3,0
1,275,85.0,25.3,0
1,275,85.0,25.3,0
1,274,85.0,25.3,0
1,274,85.0,25.3,0
1,273,85.0,25.3,0
1,274,85.0,25.3,0
1,273,85.0,25.3,0
1,273,85.0,25.3,0
1,273,85.0,25.3,0
1,273,85.0,25.3,0
1,273,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,272,85.0,25.3,0
1,271,85.0,25.3,0
1,272,85.0,25.3,0
1,270,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,272,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,271,85.0,25.3,0
1,278,85.0,25.3,0
1,283,85.0,25.3,0
1,282,85.0,25.3,0
1,282,85.0,25.3,0
1,281,85.0,25.3,0
1,281,85.0,25.3,0
1,280,85.0,25.3,0
1,281,85.0,25.3,0
1,280,85.0,25.3,0
1,280,85.0,25.3,0
1,280,85.0,25.3,0
1,280,85.0,25.3,0
1,280,85.0,25.3,0
1,280,85.0,25.3,0
1,281,85.0,25.3,0
1,281,85.0,25.3,0
1,281,85.0,25.3,0
1,282,85.0,25.3,0
1,281,85.0,25.3,0
1,281,85.0,25.3,0
1,281,85.0,25.3,0
1,282,85.0,25.3,0
1,282,85.0,25.3,0
1,282,85.0,25.3,0
1,281,85.0,25.3,0
1,282,85.0,25.3,0
1,282,85.0,25.3,0
1,282,85.0,25.3,0
1,282,85.0,25.3,0
1,282,85.0,25.3,0
1,282,85.0,25.3,0
1,283,85.0,25.3,0
1,283,85.0,25.3,0
1,283,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,285,85.0,25.3,0
1,285,85.0,25.3,0
1,285,85.0,25.3,0
1,285,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,283,85.0,25.3,0
1,283,85.0,25.3,0
1,283,85.0,25.3,0
1,283,85.0,25.3,0
1,283,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,285,85.0,25.3,0
1,285,85.0,25.3,0
1,285,85.0,25.3,0
1,283,85.0,25.3,0
1,284,85.0,25.3,0
1,283,85.0,25.3,0
1,283,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,283,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,284,85.0,25.3,0
1,285,85.0,25.3,0
1,285,85.0,25.3,0
1,286,85.0,25.3,0
1,286,85.0,25.3,0
1,286,85.0,25.3,0
1,287,85.0,25.3,0
1,287,85.0,25.3,0
1,287,85.0,25.3,0
1,287,85.0,25.3,0
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,286,85.0,25.3,1
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
1,287,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,286,85.0,25.3,1
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,286,85.0,25.3,1
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,287,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,289,85.0,25.3,1
1,288,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,288,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
